timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1614679006963,1561,Kittens,200,OK,Bing Various 2-2,text,false,One or more sub-samples failed,669902,6789,5,8,http://www.bing.com/images/search?q=Kittens,43,0,19
1614679006963,43,Kittens-0,301,Moved Permanently,Bing Various 2-2,,false,Response was null,275,135,5,8,http://bing.com/images/search?q=Kittens,43,0,19
1614679007007,330,Kittens-1,200,OK,Bing Various 2-2,text,true,,470058,139,5,8,http://www.bing.com/images/search?q=Kittens,86,0,18
1614679007349,21,Kittens-2,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,4616,138,5,8,http://www.bing.com/sa/simg/favicon-2x.ico,21,0,0
1614679007371,18,Kittens-3,200,OK,Bing Various 2-2,text,true,,1376,150,5,8,http://www.bing.com/rp/XvRHqJwJt19aXQca73hQTfvNMxk.svg,18,0,0
1614679007389,19,Kittens-4,200,OK,Bing Various 2-2,text,true,,1502,150,5,8,http://www.bing.com/rp/fdVZU4ttbw8NDRm6H3I5BW3_vCo.svg,19,0,0
1614679007408,25,Kittens-5,200,OK,Bing Various 2-2,text,true,,1933,150,5,8,http://www.bing.com/rp/4L4QdyjTv0HYE2Ig2ol9eYoqxg8.svg,25,0,0
1614679007433,19,Kittens-6,200,OK,Bing Various 2-2,text,true,,1113,150,5,8,http://www.bing.com/rp/Fsa_OI0AplCnVoXGca8ALOo0S0s.svg,19,0,0
1614679007452,18,Kittens-7,200,OK,Bing Various 2-2,text,true,,1795,150,5,8,http://www.bing.com/rp/UYtUYDcn1oZlFG-YfBPz59zejYI.svg,18,0,0
1614679007470,17,Kittens-8,200,OK,Bing Various 2-2,text,true,,1557,150,5,8,http://www.bing.com/rp/KC_nX2_tPPyFvVw1RK20Yu1FyDk.svg,17,0,0
1614679007487,20,Kittens-9,200,OK,Bing Various 2-2,text,true,,1943,150,5,8,http://www.bing.com/rp/NnFHhz2jL6yzChtIhaB5IIVKY5k.svg,20,0,0
1614679007507,19,Kittens-10,200,OK,Bing Various 2-2,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1505,150,5,8,http://www.bing.com/rp/jZQUtjbvBNTFVhjuc1I6KRsoYFQ.css,19,0,0
1614679007526,18,Kittens-11,200,OK,Bing Various 2-2,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1545,150,5,8,http://www.bing.com/rp/DGRMR9NeVlyY3l85HlsGXYkE8_s.css,18,0,0
1614679007544,20,Kittens-12,200,OK,Bing Various 2-2,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1210,150,5,8,http://www.bing.com/rp/K1lFw1Mm-fGE5oJrZ4Sbf44j-54.css,20,0,0
1614679007564,19,Kittens-13,200,OK,Bing Various 2-2,text,true,,7544,150,5,8,http://www.bing.com/rp/IM8yRggr6PIeHc40CX57dqaq-lc.css,19,0,0
1614679007584,23,Kittens-14,200,OK,Bing Various 2-2,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1772,150,5,8,http://www.bing.com/rp/dPivqrU3cqe5fmsrlV6oVXWN6J8.css,23,0,0
1614679007607,25,Kittens-15,200,OK,Bing Various 2-2,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,4626,150,5,8,http://www.bing.com/rp/fWNNQ1PnvP0-d6lD80KSmXG3Q4o.css,25,0,0
1614679007632,19,Kittens-16,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,2630,150,5,8,http://www.bing.com/rp/kFAqShRrnkQMbH6NYLBYoJ3lq9s.png,19,0,0
1614679007651,47,Kittens-17,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1602,203,5,8,http://tse1.mm.bing.net/th?q=Really+Cute+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,47,0,22
1614679007699,47,Kittens-18,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1640,198,5,8,http://tse3.mm.bing.net/th?q=Ginger+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,47,0,21
1614679007747,45,Kittens-19,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1868,200,5,8,http://tse4.mm.bing.net/th?q=Too+Cute+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,45,0,17
